"","latitud","longitud"
"6461",-9.997766616,-29.775192808
"6462",-9.99350932,-29.77297166
"6463",-9.989252024,-29.770750512
"6464",-9.984994728,-29.768529364
"6465",-9.980737432,-29.766308216
"6466",-9.976480136,-29.764087068
"6467",-9.97222284,-29.76186592
"6468",-9.967965544,-29.759644772
"6469",-9.963708248,-29.757423624
"6470",-9.959450952,-29.755202476
"6471",-9.955193656,-29.752981328
"6472",-9.95093636,-29.75076018
"6473",-9.946679064,-29.748539032
"6474",-9.942421768,-29.746317884
"6475",-9.938164472,-29.744096736
"6476",-9.933907176,-29.741875588
"6477",-9.92964988,-29.73965444
"6478",-9.925392584,-29.737433292
"6479",-9.921135288,-29.735212144
"6480",-9.916877992,-29.732990996
"6481",-9.912620696,-29.730769848
"6482",-9.9083634,-29.7285487
"6483",-9.904106104,-29.726327552
"6484",-9.899848808,-29.724106404
"6485",-9.895591512,-29.721885256
"6486",-9.891334216,-29.719664108
"6487",-9.88707692,-29.71744296
"6488",-9.882819624,-29.715221812
"6489",-9.878562328,-29.713000664
"6490",-9.874305032,-29.710779516
"6491",-9.870047736,-29.708558368
"6492",-9.86579044,-29.70633722
"6493",-9.861533144,-29.704116072
"6494",-9.857275848,-29.701894924
"6495",-9.853018552,-29.699673776
"6496",-9.848761256,-29.697452628
"6497",-9.84450396,-29.69523148
"6498",-9.840246664,-29.693010332
"6499",-9.835989368,-29.690789184
"6500",-9.831732072,-29.688568036
"6501",-9.827474776,-29.686346888
"6502",-9.82321748,-29.68412574
"6503",-9.818960184,-29.681904592
"6504",-9.814702888,-29.679683444
"6505",-9.810445592,-29.677462296
"6506",-9.806188296,-29.675241148
"6507",-9.801931,-29.67302
"6508",-9.797673704,-29.670798852
"6509",-9.793416408,-29.668577704
"6510",-9.789159112,-29.666356556
"6511",-9.784901816,-29.664135408
"6512",-9.78064452,-29.66191426
"6513",-9.776387224,-29.659693112
"6514",-9.772129928,-29.657471964
"6515",-9.767872632,-29.655250816
"6516",-9.763615336,-29.653029668
"6517",-9.75935804,-29.65080852
"6518",-9.755100744,-29.648587372
"6519",-9.750843448,-29.646366224
"6520",-9.746586152,-29.644145076
"6521",-9.742328856,-29.641923928
"6522",-9.73807156,-29.63970278
"6523",-9.733814264,-29.637481632
"6524",-9.729556968,-29.635260484
"6525",-9.725299672,-29.633039336
"6526",-9.721042376,-29.630818188
"6527",-9.71678508,-29.62859704
"6528",-9.712527784,-29.626375892
"6529",-9.708270488,-29.624154744
"6530",-9.704013192,-29.621933596
"6531",-9.699755896,-29.619712448
"6532",-9.6954986,-29.6174913
"6533",-9.691241304,-29.615270152
"6534",-9.686984008,-29.613049004
"6535",-9.682726712,-29.610827856
"6536",-9.678469416,-29.608606708
"6537",-9.67421212,-29.60638556
"6538",-9.669954824,-29.604164412
"6539",-9.665697528,-29.601943264
"6540",-9.661440232,-29.599722116
"6541",-9.657182936,-29.597500968
"6542",-9.65292564,-29.59527982
"6543",-9.648668344,-29.593058672
"6544",-9.644411048,-29.590837524
"6545",-9.640153752,-29.588616376
"6546",-9.635896456,-29.586395228
"6547",-9.63163916,-29.58417408
"6548",-9.627381864,-29.581952932
"6549",-9.623124568,-29.579731784
"6550",-9.618867272,-29.577510636
"6551",-9.614609976,-29.575289488
"6552",-9.61035268,-29.57306834
"6553",-9.606095384,-29.570847192
"6554",-9.601838088,-29.568626044
"6555",-9.597580792,-29.566404896
"6556",-9.593323496,-29.564183748
"6557",-9.5890662,-29.5619626
"6558",-9.584808904,-29.559741452
"6559",-9.580551608,-29.557520304
"6560",-9.576294312,-29.555299156
"6561",-9.572037016,-29.553078008
"6562",-9.56777972,-29.55085686
"6563",-9.563522424,-29.548635712
"6564",-9.559265128,-29.546414564
"6565",-9.555007832,-29.544193416
"6566",-9.550750536,-29.541972268
"6567",-9.54649324,-29.53975112
"6568",-9.542235944,-29.537529972
"6569",-9.537978648,-29.535308824
"6570",-9.533721352,-29.533087676
"6571",-9.529464056,-29.530866528
"6572",-9.52520676,-29.52864538
"6573",-9.520949464,-29.526424232
"6574",-9.516692168,-29.524203084
"6575",-9.512434872,-29.521981936
"6576",-9.508177576,-29.519760788
"6577",-9.50392028,-29.51753964
"6578",-9.499662984,-29.515318492
"6579",-9.495405688,-29.513097344
"6580",-9.491148392,-29.510876196
"6581",-9.486891096,-29.508655048
"6582",-9.4826338,-29.5064339
"6583",-9.478376504,-29.504212752
"6584",-9.474119208,-29.501991604
"6585",-9.469861912,-29.499770456
"6586",-9.465604616,-29.497549308
"6587",-9.46134732,-29.49532816
"6588",-9.457090024,-29.493107012
"6589",-9.452832728,-29.490885864
"6590",-9.448575432,-29.488664716
"6591",-9.444318136,-29.486443568
"6592",-9.44006084,-29.48422242
"6593",-9.435803544,-29.482001272
"6594",-9.431546248,-29.479780124
"6595",-9.427288952,-29.477558976
"6596",-9.423031656,-29.475337828
"6597",-9.41877436,-29.47311668
"6598",-9.414517064,-29.470895532
"6599",-9.410259768,-29.468674384
"6600",-9.406002472,-29.466453236
"6601",-9.401745176,-29.464232088
"6602",-9.39748788,-29.46201094
"6603",-9.393230584,-29.459789792
"6604",-9.388973288,-29.457568644
"6605",-9.384715992,-29.455347496
"6606",-9.380458696,-29.453126348
"6607",-9.3762014,-29.4509052
"6608",-9.371944104,-29.448684052
"6609",-9.367686808,-29.446462904
"6610",-9.363429512,-29.444241756
"6611",-9.359172216,-29.442020608
"6612",-9.35491492,-29.43979946
"6613",-9.350657624,-29.437578312
"6614",-9.346400328,-29.435357164
"6615",-9.342143032,-29.433136016
"6616",-9.337885736,-29.430914868
"6617",-9.33362844,-29.42869372
"6618",-9.329371144,-29.426472572
"6619",-9.325113848,-29.424251424
"6620",-9.320856552,-29.422030276
"6621",-9.316599256,-29.419809128
"6622",-9.31234196,-29.41758798
"6623",-9.308084664,-29.415366832
"6624",-9.303827368,-29.413145684
"6625",-9.299570072,-29.410924536
"6626",-9.295312776,-29.408703388
"6627",-9.29105548,-29.40648224
"6628",-9.286798184,-29.404261092
"6629",-9.282540888,-29.402039944
"6630",-9.278283592,-29.399818796
"6631",-9.274026296,-29.397597648
"6632",-9.269769,-29.3953765
"6633",-9.265511704,-29.393155352
"6634",-9.261254408,-29.390934204
"6635",-9.256997112,-29.388713056
"6636",-9.252739816,-29.386491908
"6637",-9.24848252,-29.38427076
"6638",-9.244225224,-29.382049612
"6639",-9.239967928,-29.379828464
"6640",-9.235710632,-29.377607316
"6641",-9.231453336,-29.375386168
"6642",-9.22719604,-29.37316502
"6643",-9.222938744,-29.370943872
"6644",-9.218681448,-29.368722724
"6645",-9.214424152,-29.366501576
"6646",-9.210166856,-29.364280428
"6647",-9.20590956,-29.36205928
"6648",-9.201652264,-29.359838132
"6649",-9.197394968,-29.357616984
"6650",-9.193137672,-29.355395836
"6651",-9.188880376,-29.353174688
"6652",-9.18462308,-29.35095354
"6653",-9.180365784,-29.348732392
"6654",-9.176108488,-29.346511244
"6655",-9.171851192,-29.344290096
"6656",-9.167593896,-29.342068948
"6657",-9.1633366,-29.3398478
"6658",-9.159079304,-29.337626652
"6659",-9.154822008,-29.335405504
"6660",-9.150564712,-29.333184356
"6661",-9.146307416,-29.330963208
"6662",-9.14205012,-29.32874206
"6663",-9.137792824,-29.326520912
"6664",-9.133535528,-29.324299764
"6665",-9.129278232,-29.322078616
"6666",-9.125020936,-29.319857468
"6667",-9.12076364,-29.31763632
"6668",-9.116506344,-29.315415172
"6669",-9.112249048,-29.313194024
"6670",-9.107991752,-29.310972876
"6671",-9.103734456,-29.308751728
"6672",-9.09947716,-29.30653058
"6673",-9.095219864,-29.304309432
"6674",-9.090962568,-29.302088284
"6675",-9.086705272,-29.299867136
"6676",-9.082447976,-29.297645988
"6677",-9.07819068,-29.29542484
"6678",-9.073933384,-29.293203692
"6679",-9.069676088,-29.290982544
"6680",-9.065418792,-29.288761396
"6681",-9.061161496,-29.286540248
"6682",-9.0569042,-29.2843191
"6683",-9.052646904,-29.282097952
"6684",-9.048389608,-29.279876804
"6685",-9.044132312,-29.277655656
"6686",-9.039875016,-29.275434508
"6687",-9.03561772,-29.27321336
"6688",-9.031360424,-29.270992212
"6689",-9.027103128,-29.268771064
"6690",-9.022845832,-29.266549916
"6691",-9.018588536,-29.264328768
"6692",-9.01433124,-29.26210762
"6693",-9.010073944,-29.259886472
"6694",-9.005816648,-29.257665324
"6695",-9.001559352,-29.255444176
"6696",-8.997302056,-29.253223028
"6697",-8.99304476,-29.25100188
"6698",-8.988787464,-29.248780732
"6699",-8.984530168,-29.246559584
"6700",-8.980272872,-29.244338436
