"","latitud","longitud"
"9228",0.287986508,-23.998650242
"9229",0.291133414,-23.996421211
"9230",0.29428032,-23.99419218
"9231",0.297427226,-23.991963149
"9232",0.300574132,-23.989734118
"9233",0.303721038,-23.987505087
"9234",0.306867944,-23.985276056
"9235",0.31001485,-23.983047025
"9236",0.313161756,-23.980817994
"9237",0.316308662,-23.978588963
"9238",0.319455568,-23.976359932
"9239",0.322602474,-23.974130901
"9240",0.32574938,-23.97190187
"9241",0.328896286,-23.969672839
"9242",0.332043192,-23.967443808
"9243",0.335190098,-23.965214777
"9244",0.338337004,-23.962985746
"9245",0.34148391,-23.960756715
"9246",0.344630816,-23.958527684
"9247",0.347777722,-23.956298653
"9248",0.350924628,-23.954069622
"9249",0.354071534,-23.951840591
"9250",0.35721844,-23.94961156
"9251",0.360365346,-23.947382529
"9252",0.363512252,-23.945153498
"9253",0.366659158,-23.942924467
"9254",0.369806064,-23.940695436
"9255",0.37295297,-23.938466405
"9256",0.376099876,-23.936237374
"9257",0.379246782,-23.934008343
"9258",0.382393688,-23.931779312
"9259",0.385540594,-23.929550281
"9260",0.3886875,-23.92732125
"9261",0.391834406,-23.925092219
"9262",0.394981312,-23.922863188
"9263",0.398128218,-23.920634157
"9264",0.401275124,-23.918405126
"9265",0.40442203,-23.916176095
"9266",0.407568936,-23.913947064
"9267",0.410715842,-23.911718033
"9268",0.413862748,-23.909489002
"9269",0.417009654,-23.907259971
"9270",0.42015656,-23.90503094
"9271",0.423303466,-23.902801909
"9272",0.426450372,-23.900572878
"9273",0.429597278,-23.898343847
"9274",0.432744184,-23.896114816
"9275",0.43589109,-23.893885785
"9276",0.439037996,-23.891656754
"9277",0.442184902,-23.889427723
"9278",0.445331808,-23.887198692
"9279",0.448478714,-23.884969661
"9280",0.45162562,-23.88274063
"9281",0.454772526,-23.880511599
"9282",0.457919432,-23.878282568
"9283",0.461066338,-23.876053537
"9284",0.464213244,-23.873824506
"9285",0.46736015,-23.871595475
"9286",0.470507056,-23.869366444
"9287",0.473653962,-23.867137413
"9288",0.476800868,-23.864908382
"9289",0.479947774,-23.862679351
"9290",0.48309468,-23.86045032
"9291",0.486241586,-23.858221289
"9292",0.489388492,-23.855992258
"9293",0.492535398,-23.853763227
"9294",0.495682304,-23.851534196
"9295",0.49882921,-23.849305165
"9296",0.501976116,-23.847076134
"9297",0.505123022,-23.844847103
"9298",0.508269928,-23.842618072
"9299",0.511416834,-23.840389041
"9300",0.51456374,-23.83816001
"9301",0.517710646,-23.835930979
"9302",0.520857552,-23.833701948
"9303",0.524004458,-23.831472917
"9304",0.527151364,-23.829243886
"9305",0.53029827,-23.827014855
"9306",0.533445176,-23.824785824
"9307",0.536592082,-23.822556793
"9308",0.539738988,-23.820327762
"9309",0.542885894,-23.818098731
"9310",0.5460328,-23.8158697
"9311",0.549179706,-23.813640669
"9312",0.552326612,-23.811411638
"9313",0.555473518,-23.809182607
"9314",0.558620424,-23.806953576
"9315",0.56176733,-23.804724545
"9316",0.564914236,-23.802495514
"9317",0.568061142,-23.800266483
"9318",0.571208048,-23.798037452
"9319",0.574354954,-23.795808421
"9320",0.57750186,-23.79357939
"9321",0.580648766,-23.791350359
"9322",0.583795672,-23.789121328
"9323",0.586942578,-23.786892297
"9324",0.590089484,-23.784663266
"9325",0.59323639,-23.782434235
"9326",0.596383296,-23.780205204
"9327",0.599530202,-23.777976173
"9328",0.602677108,-23.775747142
"9329",0.605824014,-23.773518111
"9330",0.60897092,-23.77128908
"9331",0.612117826,-23.769060049
"9332",0.615264732,-23.766831018
"9333",0.618411638,-23.764601987
"9334",0.621558544,-23.762372956
"9335",0.62470545,-23.760143925
"9336",0.627852356,-23.757914894
"9337",0.630999262,-23.755685863
"9338",0.634146168,-23.753456832
"9339",0.637293074,-23.751227801
"9340",0.64043998,-23.74899877
"9341",0.643586886,-23.746769739
"9342",0.646733792,-23.744540708
"9343",0.649880698,-23.742311677
"9344",0.653027604,-23.740082646
"9345",0.65617451,-23.737853615
"9346",0.659321416,-23.735624584
"9347",0.662468322,-23.733395553
"9348",0.665615228,-23.731166522
"9349",0.668762134,-23.728937491
"9350",0.67190904,-23.72670846
"9351",0.675055946,-23.724479429
