latitud,longitud
-1.77385,-14.033258
-1.770047288,-14.039976766
-1.766244576,-14.046695532
-1.7624418640000001,-14.053414298
-1.7586391519999998,-14.060133064
-1.7548364399999998,-14.066851830000001
-1.751033728,-14.073570596
-1.747231016,-14.080289362
-1.743428304,-14.087008128
-1.739625592,-14.093726894000001
-1.7358228799999997,-14.100445659999998
-1.7320201679999998,-14.107164425999999
-1.7282174559999999,-14.113883192
-1.724414744,-14.120601958
-1.720612032,-14.127320723999999
-1.71680932,-14.13403949
-1.7130066079999997,-14.140758256
-1.7092038959999998,-14.147477022
-1.7054011839999998,-14.154195788
-1.701598472,-14.160914554
-1.69779576,-14.16763332
-1.693993048,-14.174352086
-1.6901903359999997,-14.181070852
-1.6863876239999998,-14.187789618
-1.6825849119999998,-14.194508384
-1.6787822,-14.20122715
-1.674979488,-14.207945916
-1.671176776,-14.214664682
-1.6673740639999997,-14.221383448000001
-1.6635713519999997,-14.228102214
-1.6597686399999998,-14.234820979999999
-1.6559659279999999,-14.241539745999999
-1.652163216,-14.248258512
-1.648360504,-14.254977277999998
-1.644557792,-14.261696043999999
-1.6407550799999997,-14.26841481
-1.6369523679999998,-14.275133576
-1.6331496559999998,-14.281852341999999
-1.629346944,-14.288571108
-1.625544232,-14.295289874
-1.62174152,-14.30200864
-1.6179388079999997,-14.308727406
-1.6141360959999997,-14.315446172
-1.6103333839999998,-14.322164938
-1.6065306719999999,-14.328883704
-1.60272796,-14.33560247
-1.598925248,-14.342321236
-1.5951225359999999,-14.349040002
-1.5913198239999997,-14.355758767999998
-1.5875171119999998,-14.362477534
-1.5837143999999999,-14.369196299999999
-1.579911688,-14.375915066
-1.576108976,-14.382633831999998
-1.5723062639999998,-14.389352597999999
-1.5685035519999997,-14.396071363999999
-1.5647008399999998,-14.40279013
-1.5608981279999998,-14.409508895999998
-1.557095416,-14.416227661999999
-1.553292704,-14.422946428
-1.5494899919999998,-14.429665194
-1.5456872799999997,-14.436383959999999
-1.5418845679999997,-14.443102726
-1.5380818559999998,-14.449821492
-1.534279144,-14.456540258
-1.5304764320000002,-14.463259024000001
-1.52667372,-14.469977790000002
-1.5228710079999999,-14.476696556000002
-1.519068296,-14.483415322
-1.515265584,-14.490134088000001
-1.511462872,-14.496852854
-1.5076601600000001,-14.503571620000002
-1.503857448,-14.510290386
-1.500054736,-14.517009152
-1.496252024,-14.523727918
-1.492449312,-14.530446684000001
-1.4886466,-14.53716545
-1.4848438880000001,-14.543884216
-1.481041176,-14.550602982000001
-1.477238464,-14.557321748000001
-1.4734357519999999,-14.564040514
-1.46963304,-14.57075928
-1.465830328,-14.577478046000001
-1.462027616,-14.584196812
-1.4582249040000002,-14.590915578
-1.454422192,-14.597634344000001
-1.4506194799999999,-14.604353110000002
-1.446816768,-14.611071876
-1.443014056,-14.617790642
-1.439211344,-14.624509408
-1.4354086320000001,-14.631228174
-1.43160592,-14.637946939999999
-1.4278032079999998,-14.644665706
-1.424000496,-14.651384472
-1.420197784,-14.658103238
-1.416395072,-14.664822004
-1.41259236,-14.67154077
-1.408789648,-14.678259536
-1.4049869359999998,-14.684978302000001
-1.4011842239999999,-14.691697068
-1.397381512,-14.698415834
-1.3935788,-14.705134600000001
-1.389776088,-14.711853366000001
-1.385973376,-14.718572131999998
-1.382170664,-14.725290898
-1.3783679519999998,-14.732009664
-1.37456524,-14.738728429999998
-1.370762528,-14.745447196
-1.366959816,-14.752165962
-1.363157104,-14.758884728
-1.359354392,-14.765603493999999
-1.3555516799999998,-14.77232226
-1.3517489679999999,-14.779041026
-1.347946256,-14.785759792
-1.344143544,-14.792478557999999
-1.340340832,-14.799197324
-1.3365381199999997,-14.80591609
-1.3327354079999998,-14.812634856
-1.3289326959999999,-14.819353622
-1.325129984,-14.826072388
-1.321327272,-14.832791154
-1.31752456,-14.839509920000001
-1.313721848,-14.846228686
-1.309919136,-14.852947451999999
-1.3061164239999998,-14.859666218000001
-1.302313712,-14.866384984
-1.298511,-14.873103749999999
-1.294708288,-14.879822516
-1.2909055759999999,-14.886541282
-1.287102864,-14.893260047999998
-1.2833001519999998,-14.899978813999999
-1.2794974399999999,-14.90669758
-1.275694728,-14.913416346
-1.271892016,-14.920135111999999
-1.2680893039999999,-14.926853878
-1.264286592,-14.933572644
-1.2604838799999998,-14.94029141
-1.2566811679999998,-14.947010176
-1.252878456,-14.953728942
-1.249075744,-14.960447708
-1.2452730319999998,-14.967166474
-1.24147032,-14.97388524
-1.2376676079999998,-14.980604006
-1.233864896,-14.987322771999999
-1.230062184,-14.994041538000001
-1.226259472,-15.000760304
-1.22245676,-15.007479069999999
-1.2186540479999999,-15.014197836
-1.2148513359999997,-15.020916602
-1.211048624,-15.027635367999999
-1.2072459119999999,-15.034354133999999
-1.2034432,-15.0410729
-1.199640488,-15.047791665999998
-1.1958377759999999,-15.054510431999999
-1.1920350639999997,-15.061229198
-1.188232352,-15.067947964
-1.1844296399999998,-15.074666729999999
-1.180626928,-15.081385496
-1.176824216,-15.088104262
-1.1730215039999998,-15.094823028
-1.1692187919999997,-15.101541794
-1.1654160799999997,-15.10826056
-1.1616133679999998,-15.114979326
-1.1578106559999999,-15.121698092
-1.154007944,-15.128416857999998
-1.1502052319999998,-15.135135624
-1.1464025199999996,-15.141854389999999
-1.1425998079999997,-15.148573156000001
-1.1387970959999998,-15.155291922
-1.1349943839999999,-15.162010687999999
-1.131191672,-15.168729454
-1.12738896,-15.17544822
-1.1235862479999996,-15.182166985999999
-1.119783536,-15.188885752
-1.1159808239999998,-15.195604518
-1.1121781119999998,-15.202323283999998
-1.1083754,-15.209042049999999
-1.104572688,-15.215760816
-1.1007699759999998,-15.222479582
-1.0969672639999999,-15.229198347999999
-1.0931645519999997,-15.235917114
-1.0893618399999998,-15.242635879999998
-1.0855591279999999,-15.249354646
-1.081756416,-15.256073412
-1.0779537039999998,-15.262792177999998
-1.0741509919999999,-15.269510944
-1.0703482799999997,-15.276229709999999
-1.0665455679999998,-15.282948475999998
-1.0627428559999998,-15.289667241999998
-1.058940144,-15.296386008
-1.055137432,-15.303104774
-1.0513347199999998,-15.30982354
-1.0475320080000001,-15.316542306
-1.043729296,-15.323261072000001
-1.039926584,-15.329979838
-1.0361238720000001,-15.336698604
-1.03232116,-15.343417370000001
-1.0285184479999998,-15.350136136000001
-1.024715736,-15.356854902
-1.020913024,-15.363573668
-1.017110312,-15.370292434000001
-1.0133076,-15.377011200000002
-1.009504888,-15.383729966
-1.0057021759999998,-15.390448732
-1.001899464,-15.397167498000002
-0.998096752,-15.403886264
-0.99429404,-15.41060503
-0.9904913280000001,-15.417323796
-0.9866886159999999,-15.424042562
-0.982885904,-15.430761327999999
-0.979083192,-15.437480094
-0.97528048,-15.44419886
-0.971477768,-15.450917626
-0.967675056,-15.457636392
-0.9638723439999999,-15.464355158
-0.960069632,-15.471073924
-0.95626692,-15.477792690000001
-0.952464208,-15.484511456
-0.9486614959999999,-15.491230221999999
-0.944858784,-15.497948988000001
-0.9410560719999999,-15.504667754
-0.9372533599999999,-15.511386519999999
-0.9334506479999999,-15.518105286
-0.929647936,-15.524824052
-0.9258452239999999,-15.531542818000002
-0.922042512,-15.538261584
-0.9182398,-15.54498035
-0.9144370879999999,-15.551699116000002
-0.9106343759999999,-15.558417882
-0.9068316639999999,-15.565136648
-0.9030289519999999,-15.571855414
-0.89922624,-15.57857418
-0.895423528,-15.585292946
-0.8916208159999999,-15.592011712
-0.8878181039999998,-15.598730478
-0.8840153919999999,-15.605449244
-0.88021268,-15.612168009999998
-0.8764099679999999,-15.618886776
-0.872607256,-15.625605541999999
-0.8688045439999998,-15.632324308000001
-0.8650018319999999,-15.639043074
-0.86119912,-15.645761839999999
-0.8573964079999999,-15.652480606000001
-0.8535936959999999,-15.659199372
-0.849790984,-15.665918137999999
-0.8459882719999998,-15.672636903999999
-0.8421855599999999,-15.67935567
-0.838382848,-15.686074436
-0.8345801359999999,-15.692793201999999
-0.830777424,-15.699511968
-0.826974712,-15.706230734
-0.823172,-15.712949499999999
-0.8193692879999999,-15.719668266
-0.8155665759999998,-15.726387032
-0.8117638639999999,-15.733105798
-0.807961152,-15.739824564
-0.8041584399999999,-15.74654333
-0.800355728,-15.753262096
-0.7965530159999998,-15.759980861999999
-0.7927503039999998,-15.766699627999998
-0.7889475919999999,-15.773418394
-0.7851448799999999,-15.780137159999999
-0.7813421679999999,-15.786855926000001
-0.777539456,-15.793574692
-0.7737367439999998,-15.800293457999999
-0.7699340319999998,-15.807012224000001
-0.7661313199999998,-15.81373099
-0.7623286079999999,-15.820449755999999
-0.7585258959999999,-15.827168522000001
-0.7547231839999999,-15.833887288
-0.7509204719999998,-15.840606054
-0.7471177599999997,-15.847324819999999
-0.7433150479999998,-15.854043586
-0.7395123359999999,-15.860762352
-0.7357096239999998,-15.867481117999999
-0.7319069119999999,-15.874199884
-0.7281041999999998,-15.88091865
-0.7243014879999997,-15.887637416
-0.7204987759999998,-15.894356182
-0.7166960639999999,-15.901074948
-0.7128933519999998,-15.907793714
-0.7090906399999999,-15.91451248
-0.705287928,-15.921231245999998
-0.7014852159999998,-15.927950011999998
-0.6976825039999999,-15.934668777999999
-0.6938797919999999,-15.941387544
-0.6900770799999999,-15.948106309999998
-0.686274368,-15.954825075999999
-0.682471656,-15.961543842
-0.6786689439999998,-15.968262608
-0.6748662319999998,-15.974981373999999
-0.6710635199999999,-15.981700139999997
-0.6672608079999999,-15.988418906
-0.6634580959999999,-15.995137671999998
-0.659655384,-16.001856437999997
-0.6558526719999997,-16.008575204
-0.6520499599999998,-16.01529397
-0.6482472479999999,-16.022012735999997
-0.6444445359999998,-16.028731502
-0.6406418239999999,-16.035450267999998
-0.636839112,-16.042169034
-0.6330363999999997,-16.0488878
-0.6292336879999998,-16.055606565999998
-0.6254309759999999,-16.062325332
-0.6216282639999998,-16.069044098
-0.6178255519999999,-16.075762863999998
-0.61402284,-16.082481629999997
-0.6102201279999997,-16.089200396
-0.6064174159999998,-16.095919162
-0.6026147039999998,-16.102637928
-0.5988119919999998,-16.109356694
-0.5950092799999999,-16.116075459999998
-0.5912065679999999,-16.122794226
-0.5874038559999999,-16.129512992
-0.583601144,-16.136231758
-0.5797984319999999,-16.142950524
-0.57599572,-16.14966929
-0.5721930080000001,-16.156388056
-0.568390296,-16.163106822
-0.5645875839999999,-16.169825588000002
-0.5607848719999999,-16.176544354
-0.5569821599999999,-16.18326312
-0.553179448,-16.189981886
-0.549376736,-16.196700652
-0.545574024,-16.203419418
-0.5417713119999998,-16.210138184
-0.5379685999999999,-16.21685695
-0.5341658879999999,-16.223575716
-0.5303631759999999,-16.230294481999998
-0.526560464,-16.237013248
-0.522757752,-16.243732014000003
-0.5189550399999998,-16.25045078
-0.5151523279999999,-16.257169546
-0.5113496159999998,-16.263888312
-0.5075469039999999,-16.270607078
-0.503744192,-16.277325844
-0.49994147999999994,-16.284044610000002
-0.496138768,-16.290763376
-0.49233605599999986,-16.297482142
-0.4885333439999998,-16.304200908
-0.4847306319999999,-16.310919674
-0.48092791999999995,-16.31763844
-0.4771252079999999,-16.324357206000002
-0.473322496,-16.331075972
-0.46951978399999983,-16.337794738
-0.4657170719999999,-16.344513504
-0.46191435999999997,-16.35123227
-0.45811164800000004,-16.357951036
-0.454308936,-16.364669801999998
-0.45050622400000007,-16.371388568
-0.4467035119999999,-16.378107334
-0.4429007999999999,-16.384826099999998
-0.43909808799999994,-16.391544866
-0.435295376,-16.398263632
-0.43149266399999997,-16.404982397999998
-0.42768995200000004,-16.411701164
-0.4238872399999999,-16.41841993
-0.42008452799999985,-16.425138696
-0.4162818159999999,-16.431857461999996
-0.412479104,-16.438576228
-0.40867639199999994,-16.445294994
-0.40487368,-16.45201376
-0.4010709680000001,-16.458732526
-0.3972682559999998,-16.465451291999997
-0.3934655439999999,-16.472170058
-0.38966283199999996,-16.478888824000002
-0.3858601199999999,-16.48560759
-0.382057408,-16.492326356
-0.37825469600000006,-16.499045122
-0.3744519839999998,-16.505763888
-0.37064927199999986,-16.512482654
-0.36684655999999993,-16.519201419999998
-0.3630438479999999,-16.525920186
-0.35924113599999996,-16.532638952
-0.35543842400000003,-16.539357717999998
-0.35163571199999977,-16.546076484
-0.34783299999999984,-16.55279525
-0.3440302879999999,-16.559514015999998
-0.34022757599999986,-16.566232782
-0.33642486399999993,-16.572951548
-0.332622152,-16.579670314
-0.32881943999999974,-16.58638908
-0.3250167279999998,-16.593107846
-0.3212140159999999,-16.599826612
-0.31741130399999984,-16.606545378
-0.3136085919999999,-16.613264144
-0.30980588,-16.619982909999997
-0.3060031679999997,-16.626701676
-0.3022004559999998,-16.633420442000002
-0.29839774399999985,-16.640139208
-0.2945950319999998,-16.646857974
-0.2907923199999999,-16.65357674
-0.28698960799999995,-16.660295506
-0.2831868959999999,-16.667014272
-0.27938418399999976,-16.673733038
-0.2755814719999998,-16.680451804
-0.2717787599999998,-16.68717057
-0.26797604799999986,-16.693889335999998
-0.2641733359999999,-16.700608102
-0.2603706239999999,-16.707326868000003
-0.25656791199999973,-16.714045634
-0.2527651999999998,-16.7207644
-0.24896248799999976,-16.727483166
-0.24515977599999983,-16.734201931999998
-0.2413570639999999,-16.740920697999996
